,Id,BsmtQual_Mapping,BsmtCond_Mapping,BsmtExposure_Mapping,BsmtFinType1_Mapping,BsmtFinType2_Mapping,ExterQual_Mapping,ExterCond_Mapping,Electrical_Mapping,FireplaceQu_Mapping,Fence_Mapping,GarageQual_Mapping,GarageCond_Mapping,GarageFinish_Mapping,HeatingQC_Mapping,KitchenQual_Mapping,LotShape_Mapping,PoolQC_Mapping,Utilities_Mapping,MSSubClass_Recategory,MSZoning_Recategory,LotConfig_Recategory,BldgType_Recategory,Condition1_Recategory,Condition2_Recategory,Fence_Recategory,Functional_Recategory,HouseStyle_Recategory,RoofStyle_Recategory,RoofMatl_Recategory,MasVnrType_Recategory,GarageType_Recategory,GarageFinish_Recategory,SaleType_Recategory,SaleCondition_Recategory,OverallQual_Recategory,OverallCond_Recategory,LotFrontage,LotArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,Alley,LotShape,LandContour,LandSlope,Foundation,Heating,CentralAir,MiscFeature,SalePrice
772,773,3,3,3,5,4,3,3,5,3,3,3,3,1,3,3,1,0,4,80,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,SLvl,NFlt,CompShg,None,Detchd,Unf,WD,Abnorml,6,5,94.0,7819,127,480,1029,1117,0,0,1117,1,0,1,0,3,1,6,1,1976.0,2,672,144,0,0,0,0,0,0,3,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,107000
773,774,3,3,1,3,1,3,3,4,0,0,3,3,2,5,3,1,0,4,20,R,Inside,1Fam,Feedr,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,COD,Normal,5,5,70.0,10150,0,456,912,912,0,0,912,0,0,1,0,2,1,5,0,1958.0,1,275,0,0,0,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,114500
774,775,4,3,3,1,1,4,3,5,4,0,3,3,3,4,4,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,8,5,110.0,14226,0,1935,1935,1973,0,0,1973,0,0,2,0,3,1,9,1,2006.0,3,895,315,45,0,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,395000
775,776,5,3,1,6,1,3,3,5,0,0,3,3,3,5,3,1,0,4,120,R,FR,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,6,5,32.0,4500,0,338,1204,1204,0,0,1204,1,0,2,0,2,1,5,0,1998.0,2,412,0,247,0,0,0,0,0,6,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,162000
776,777,4,3,3,6,1,4,3,5,0,0,3,3,2,5,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,New,Nonormal,7,5,86.0,11210,0,1594,1614,1614,0,0,1614,0,0,2,0,3,1,7,0,2005.0,3,865,144,59,0,0,0,0,0,7,2006,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,221500
777,778,3,3,1,5,1,3,3,5,2,3,3,3,1,3,3,2,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,5,100.0,13350,0,102,864,894,0,0,894,1,0,1,0,3,1,5,1,1974.0,2,440,241,0,0,0,0,0,0,6,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,142500
778,779,0,0,0,0,0,3,3,5,3,0,3,3,1,3,3,1,0,4,90,R,Inside,Duplex,Feedr,Norm,,Typ,1Story,NFlt,CompShg,Exist,Detchd,Unf,WD,Normal,5,5,60.0,8400,0,0,0,2020,0,0,2020,0,0,2,0,4,2,10,2,1977.0,2,630,0,0,0,0,0,0,0,10,2007,Pave,,Reg,Lvl,Gtl,Slab,GasA,Y,,144000
779,780,4,3,4,6,1,3,3,5,0,0,3,3,1,3,3,1,0,4,90,R,Inside,Duplex,Norm,Norm,,Typ,SFoyer,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,5,78.0,10530,0,0,975,1004,0,0,1004,1,0,1,0,2,1,4,0,1977.0,2,504,0,0,0,0,0,0,0,5,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,135000
780,781,4,4,1,1,1,3,3,5,3,0,3,3,3,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,5,63.0,7875,0,1237,1237,1253,0,0,1253,0,0,2,0,3,1,6,1,1995.0,2,402,220,21,0,0,0,0,0,6,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,176000
781,782,4,3,1,5,1,4,4,5,0,0,3,3,2,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,65.0,7153,0,374,761,810,793,0,1603,0,0,2,1,3,1,7,0,1992.0,2,484,0,124,0,0,0,0,0,7,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,175900
782,783,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,3,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,67.0,16285,0,1413,1413,1430,0,0,1430,0,0,2,0,3,1,6,0,2001.0,2,605,0,33,0,0,0,0,0,6,2009,Pave,,IR2,Lvl,Gtl,PConc,GasA,Y,,187100
783,784,4,3,3,6,1,3,4,5,3,0,3,3,3,5,4,2,0,4,85,R,Corner,1Fam,Norm,Norm,,Typ,SFoyer,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,5,6,,9101,0,0,1097,1110,0,0,1110,1,0,1,0,1,1,4,1,1978.0,2,602,303,30,0,0,0,0,0,7,2009,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,165500
784,785,3,3,1,1,1,3,3,5,4,0,0,0,0,5,3,1,0,4,75,R,Inside,1Fam,Norm,Norm,,Typ,2.5Unf,NFlt,CompShg,None,,,WD,Normal,6,6,35.0,6300,0,742,742,742,742,0,1484,0,0,2,0,3,1,9,1,,0,0,0,291,134,0,0,0,0,6,2008,Pave,Grvl,Reg,Lvl,Gtl,CBlock,GasA,Y,,128000
785,786,3,3,1,3,2,3,3,5,4,0,3,3,1,3,3,1,0,4,20,R,Inside,1Fam,Feedr,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,,9790,630,491,1372,1342,0,0,1342,0,0,2,0,3,1,7,1,1967.0,2,457,0,0,0,0,197,0,0,9,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,161500
786,787,2,3,1,2,1,3,4,5,0,0,3,3,1,3,3,1,0,4,50,R,Inside,1Fam,Artery,Norm,,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,6,60.0,10800,0,0,686,966,686,0,1652,1,0,2,0,4,1,7,0,1961.0,1,416,0,0,196,0,0,0,1200,6,2010,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,Shed,139000
787,788,4,3,1,6,1,4,3,5,0,0,3,3,2,5,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,76.0,10142,0,300,956,956,1128,0,2084,1,0,2,1,4,1,8,0,2004.0,2,618,0,45,0,0,0,0,0,1,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,233000
788,789,3,3,1,1,1,3,3,5,0,0,2,3,1,5,3,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,4,7,50.0,6000,0,901,901,901,0,0,901,0,0,1,0,2,1,4,0,1954.0,1,281,0,0,0,0,0,0,0,8,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,107900
789,790,3,2,4,2,1,3,3,5,0,0,3,3,3,4,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,6,8,,12205,0,264,832,976,1111,0,2087,0,0,2,1,5,1,9,0,1966.0,2,444,133,168,0,0,0,0,0,7,2007,Pave,,IR1,Low,Gtl,CBlock,GasA,Y,,187500
790,791,4,3,1,6,1,4,3,5,4,0,3,3,3,5,4,1,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,5,43.0,3182,0,1129,1145,1145,0,0,1145,0,0,2,0,2,1,5,1,2005.0,2,397,100,16,0,0,0,0,0,9,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,160200
791,792,4,3,3,5,1,3,3,5,3,0,3,3,2,3,3,2,0,4,80,R,Corner,1Fam,Norm,Norm,,Typ,SLvl,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,,11333,0,490,1029,1062,0,0,1062,1,0,1,0,3,1,5,2,1976.0,2,539,120,0,0,0,0,0,0,5,2007,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,146800
792,793,4,3,3,6,1,4,3,5,3,0,3,3,1,5,3,2,0,4,60,R,CulDSac,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,92.0,9920,0,255,1117,1127,886,0,2013,1,0,2,1,3,1,8,1,1997.0,2,455,180,130,0,0,0,0,0,6,2007,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,269790
793,794,4,3,3,1,1,4,3,5,0,0,3,3,3,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,8,5,76.0,9158,0,1496,1496,1496,0,0,1496,0,0,2,0,3,1,7,0,2007.0,2,474,168,130,0,0,0,0,0,6,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,225000
794,795,4,3,1,1,1,4,3,5,3,0,3,3,3,5,4,2,0,4,60,R,Corner,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Normal,7,5,,10832,0,712,712,1086,809,0,1895,0,0,2,1,3,1,7,1,1994.0,2,409,143,46,0,0,0,0,500,10,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,Shed,194500
795,796,4,3,1,1,1,3,3,5,3,3,3,3,1,3,3,1,0,4,60,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,6,70.0,8400,0,650,650,888,676,0,1564,0,0,2,1,3,1,7,1,1980.0,2,476,0,50,0,0,204,0,0,4,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,171000
796,797,3,3,1,1,1,3,3,5,3,3,3,3,2,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,5,71.0,8197,0,660,660,1285,0,0,1285,0,0,1,1,3,1,7,1,1977.0,2,528,138,0,0,0,0,0,0,4,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,143500
797,798,3,3,1,4,1,3,3,5,0,0,3,3,1,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Abnorml,5,5,57.0,7677,0,203,773,773,0,0,773,0,0,1,0,2,1,4,0,1953.0,1,240,0,0,0,0,0,0,0,4,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,110000
798,799,5,3,1,1,1,5,3,5,4,0,3,3,3,5,5,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,9,5,104.0,13518,0,1926,1926,1966,1174,0,3140,0,0,3,1,4,1,11,2,2009.0,3,820,144,78,0,0,0,0,0,7,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,485000
799,800,4,3,1,5,1,3,3,5,3,3,3,3,1,5,4,1,0,4,50,R,Corner,1Fam,Feedr,Norm,MnPrv,Typ,1.5Fin,NFlt,CompShg,Exist,Detchd,Unf,WD,Normal,5,7,60.0,7200,0,162,731,981,787,0,1768,1,0,1,1,3,1,7,2,1939.0,1,240,0,0,264,0,0,0,0,6,2007,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,175000
800,801,4,3,4,6,1,3,3,5,0,0,3,3,2,4,4,2,0,4,60,R,Inside,1Fam,Feedr,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,79.0,12798,0,154,616,616,1072,0,1688,1,0,2,1,4,1,8,0,1997.0,2,603,403,114,185,0,0,0,400,5,2008,Pave,,IR1,HLS,Mod,PConc,GasA,Y,Shed,200000
801,802,3,3,1,2,1,3,3,4,0,0,3,3,1,5,3,1,0,4,30,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,4,7,40.0,4800,0,999,1196,1196,0,0,1196,1,0,1,0,2,1,5,0,1957.0,2,440,0,0,0,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,109900
802,803,4,3,3,6,1,4,3,5,4,0,3,3,3,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Normal,7,5,63.0,8199,0,80,728,728,728,0,1456,1,0,2,1,3,1,7,1,2005.0,2,410,36,18,0,0,0,0,0,10,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,189000
803,804,5,3,4,1,1,5,3,5,4,0,3,3,2,5,5,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,New,Nonormal,9,5,107.0,13891,0,1734,1734,1734,1088,0,2822,0,0,3,1,4,1,12,1,2009.0,3,1020,52,170,0,0,192,0,0,1,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,582933
804,805,3,3,1,2,1,3,3,5,0,2,3,3,1,3,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,GdWo,Min1,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Nonormal,5,5,75.0,9000,0,124,936,1128,0,0,1128,0,0,1,0,2,1,5,0,1954.0,1,286,0,0,0,0,0,0,0,6,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,118000
805,806,4,3,1,1,1,4,3,5,0,0,3,3,2,5,5,2,0,4,20,R,FR,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,New,Nonormal,7,5,91.0,12274,0,1417,1417,1428,0,0,1428,0,0,2,0,3,1,6,0,2008.0,2,554,0,60,0,0,0,0,0,7,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,227680
806,807,3,3,3,5,3,3,3,5,0,0,3,3,3,4,3,1,0,4,80,R,Inside,1Fam,Norm,Norm,,Typ,SLvl,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Normal,5,5,75.0,9750,480,100,980,980,0,0,980,0,0,2,0,3,1,6,0,1967.0,1,384,68,0,0,0,0,0,0,10,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,135500
807,808,3,3,4,6,1,3,3,5,3,0,3,3,2,5,4,1,0,4,70,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,144.0,21384,0,15,1324,1072,504,0,1576,2,0,1,1,3,1,6,1,1923.0,2,528,0,312,0,0,0,0,0,5,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,223500
808,809,3,3,3,5,4,3,3,5,4,2,3,3,2,3,3,1,0,4,80,R,Inside,1Fam,Norm,Norm,GdWo,Typ,SLvl,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,5,5,85.0,13400,128,380,1024,1086,0,0,1086,1,0,1,0,3,1,6,1,1966.0,2,484,0,0,0,0,0,0,0,6,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,159950
809,810,3,3,1,1,1,3,3,4,0,3,2,1,1,3,3,1,0,4,75,R,Corner,1Fam,Norm,Norm,MnPrv,Typ,2.5Unf,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,5,90.0,8100,0,849,849,1075,1063,0,2138,0,0,2,0,2,3,11,0,1910.0,2,360,40,156,0,0,0,0,0,11,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,N,,106000
810,811,3,3,1,5,2,3,3,5,2,4,3,3,2,2,4,1,2,4,20,R,Inside,1Fam,Norm,Norm,GdPrv,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,6,78.0,10140,377,0,1040,1309,0,0,1309,1,0,1,1,3,1,5,1,1974.0,2,484,265,0,0,0,0,648,0,1,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,181000
811,812,4,3,4,6,1,4,3,5,4,0,3,3,3,5,4,1,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,ConLD,Normal,6,5,,4438,0,186,848,848,0,0,848,1,0,1,0,1,1,4,1,2004.0,2,420,140,0,0,0,0,0,0,6,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,144500
812,813,3,3,3,1,1,2,3,4,0,0,3,3,1,3,2,1,0,4,20,C (all),Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Nonormal,5,5,66.0,8712,0,540,540,1044,0,0,1044,0,0,1,0,2,1,4,0,1952.0,2,504,0,0,0,0,0,0,54,6,2010,Grvl,,Reg,Bnk,Mod,CBlock,GasA,N,Shed,55993
813,814,3,3,1,3,1,3,3,5,0,0,3,3,2,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,COD,Normal,6,6,75.0,9750,0,834,1442,1442,0,0,1442,0,0,1,1,4,1,7,0,1958.0,1,301,0,0,275,0,0,0,500,4,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,Shed,157900
814,815,3,3,1,1,1,3,3,5,0,0,3,3,1,4,2,1,0,4,50,R,Inside,1Fam,Norm,Norm,,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,7,45.0,8248,0,686,686,686,564,0,1250,0,1,1,1,3,1,7,0,1955.0,1,280,207,0,96,0,0,0,0,7,2006,Pave,Grvl,Reg,Lvl,Gtl,BrkTil,GasW,Y,,116000
815,816,4,3,1,1,1,3,3,5,0,0,3,3,2,5,4,3,0,4,20,R,CulDSac,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,5,48.0,12137,0,1649,1649,1661,0,0,1661,0,0,2,0,3,1,6,0,1998.0,2,598,0,34,0,0,0,0,0,5,2010,Pave,,IR2,Lvl,Gtl,PConc,GasA,Y,,224900
816,817,3,3,1,4,1,3,3,5,4,0,3,3,2,4,3,2,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,,11425,0,522,1008,1008,0,0,1008,0,0,1,0,2,1,4,1,1954.0,1,275,0,0,120,0,0,0,0,7,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,137000
817,818,4,3,1,6,1,4,3,5,4,0,3,3,2,5,4,2,0,4,20,R,CulDSac,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,,13265,0,350,1568,1689,0,0,1689,1,0,2,0,3,1,7,2,2002.0,3,857,150,59,0,0,0,0,0,7,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,271000
818,819,3,3,3,6,1,3,3,5,0,3,3,3,1,4,3,1,0,4,80,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,SLvl,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,7,80.0,8816,0,506,1010,1052,0,0,1052,1,0,1,0,3,1,6,0,1971.0,2,440,0,0,0,0,0,0,0,6,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,155000
819,820,4,3,2,6,1,4,3,5,4,0,3,3,2,5,4,2,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,New,Nonormal,7,5,44.0,6371,0,625,1358,1358,0,0,1358,1,0,2,0,2,1,6,1,2010.0,2,484,192,35,0,0,0,0,0,6,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,224000
820,821,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,2,0,4,60,R,CulDSac,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,72.0,7226,0,798,798,798,842,0,1640,0,0,2,1,3,1,6,0,2003.0,2,595,0,45,0,0,0,0,0,6,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,183000
821,822,2,3,1,1,1,2,3,5,0,0,3,3,1,3,3,1,0,4,20,R,Inside,2fmCon,Norm,Norm,,Min2,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,4,4,60.0,6000,0,936,936,936,0,0,936,0,0,1,0,2,1,4,0,1974.0,2,576,0,32,112,0,0,0,0,2,2009,Pave,Pave,Reg,Bnk,Mod,CBlock,GasA,N,,93000
822,823,4,3,4,1,1,4,3,5,4,0,3,3,3,5,4,2,0,4,60,R,Corner,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Nonormal,7,5,,12394,0,847,847,847,886,0,1733,0,0,2,1,3,1,7,1,2003.0,2,433,100,48,0,0,0,0,0,10,2007,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,225000
823,824,3,3,1,1,1,3,3,5,4,2,3,3,1,3,3,1,0,4,50,R,Inside,1Fam,Norm,Norm,GdWo,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,6,7,60.0,9900,0,778,778,944,545,0,1489,0,0,2,0,3,1,7,1,1940.0,1,240,335,0,0,0,0,0,0,7,2009,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,139500
824,825,4,4,1,1,1,4,3,5,4,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,New,Nonormal,8,5,81.0,11216,0,1489,1489,1489,0,0,1489,0,0,2,0,3,1,7,1,2006.0,2,776,0,140,0,0,0,0,0,6,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,232600
825,826,5,3,3,6,1,5,3,5,4,0,3,3,3,5,5,1,0,4,20,R,Inside,1Fam,PosN,PosN,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,10,5,114.0,14803,0,442,2078,2084,0,0,2084,1,0,2,0,2,1,7,1,2007.0,3,1220,188,45,0,0,0,0,0,6,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,385000
826,827,3,3,1,5,1,3,3,5,0,0,0,0,0,4,4,1,0,4,45,R,Inside,1Fam,Norm,Norm,,Typ,1.5Unf,NFlt,CompShg,None,,,WD,Normal,5,6,50.0,6130,0,0,784,784,0,0,784,1,0,1,0,2,1,5,0,,0,0,0,0,116,0,0,0,0,5,2008,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,109500
827,828,4,3,1,6,1,4,3,5,3,0,3,3,2,5,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,65.0,8529,0,1434,1454,1434,0,0,1434,0,0,2,0,3,1,6,1,2001.0,2,527,290,39,0,0,0,0,0,4,2009,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,189000
828,829,3,4,4,2,5,3,3,5,0,0,3,3,3,3,3,3,0,4,60,R,CulDSac,1Fam,Norm,Norm,,Min2,2Story,Flat,NComp,None,BuiltInGarage,Fin,WD,Abnorml,5,5,,28698,764,0,1013,1160,966,0,2126,0,1,2,1,3,1,7,0,1967.0,2,538,486,0,0,0,225,0,0,6,2009,Pave,,IR2,Low,Sev,PConc,GasA,Y,,185000
829,830,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,1,0,4,160,R,Inside,Twnhs,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,7,5,24.0,2544,0,600,600,520,623,80,1223,0,0,2,1,2,1,4,0,2005.0,2,480,0,166,0,0,0,0,0,7,2006,Pave,Pave,Reg,Lvl,Gtl,PConc,GasA,Y,,147400
830,831,3,3,1,3,1,3,3,4,4,0,3,3,2,3,3,2,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,5,80.0,11900,0,352,1392,1392,0,0,1392,1,0,1,1,3,1,6,2,1957.0,2,458,0,0,0,0,192,0,0,6,2008,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,166000
831,832,4,3,1,1,1,3,3,5,0,0,3,3,2,5,4,1,0,4,160,R,Inside,TwnhsE,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,7,5,30.0,3180,0,600,600,520,600,80,1200,0,0,2,1,2,1,4,0,2005.0,2,480,0,166,0,0,0,0,0,6,2006,Pave,Pave,Reg,Lvl,Gtl,PConc,GasA,Y,,151000
832,833,4,3,1,6,1,4,3,5,3,0,3,3,2,5,4,2,0,4,60,R,CulDSac,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,6,44.0,9548,0,458,941,941,888,0,1829,1,0,2,1,3,1,7,1,2003.0,2,613,192,39,0,0,0,0,0,1,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,237000
833,834,3,3,1,3,4,3,3,5,0,0,3,3,2,3,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,6,100.0,10004,345,975,1516,1516,0,0,1516,0,0,1,1,3,1,6,0,1964.0,2,472,0,0,0,0,152,0,0,2,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,167000
834,835,3,3,1,3,1,3,3,5,0,2,3,3,1,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,GdWo,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,5,6,75.0,7875,0,572,1144,1144,0,0,1144,1,0,1,0,3,1,6,0,1961.0,2,456,0,0,0,0,0,0,0,9,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,139950
